Region,Province,Municipality,Date,Tmin,Tmax,Relative_Humidity,Rainfall,Dew_Point,Solar_Radiation,Rice_Growth_Stage,BPH_Hoppers_per_Hill,RSB_Dead_Hearts_Pct,RSB_White_Ears_Pct
III,Pampanga,Arayat,2019-01-01,23.1,31.6,77.4,10.0,22.8,206.3,Tillering,4,0.42,0.18
III,Pampanga,Arayat,2019-01-02,22.7,29.8,77.4,14.3,21.7,205.0,Tillering,3,0.51,0.13
III,Pampanga,Arayat,2019-01-03,22.8,30.8,72.2,0.0,21.2,220.4,Tillering,3,1.13,0.04
III,Pampanga,Arayat,2019-01-04,22.4,30.6,74.5,0.0,21.4,211.5,Tillering,0,0.0,0.06
III,Pampanga,Arayat,2019-01-05,22.0,31.9,74.9,0.0,21.9,216.3,Tillering,0,0.42,0.09
III,Pampanga,Arayat,2019-01-06,23.6,32.2,71.9,0.0,22.3,215.7,Tillering,1,0.1,0.12
III,Pampanga,Arayat,2019-01-07,23.8,31.1,72.7,0.0,22.0,210.2,Tillering,3,0.36,0.13
III,Pampanga,Arayat,2019-01-08,23.7,30.9,72.4,0.0,21.8,227.9,Tillering,5,0.0,0.13
III,Pampanga,Arayat,2019-01-09,23.9,29.7,73.4,0.0,21.5,231.0,Tillering,1,0.74,0.0
III,Pampanga,Arayat,2019-01-10,23.3,26.8,74.0,0.0,19.8,224.1,Tillering,2,0.2,0.11
III,Pampanga,Arayat,2019-01-11,24.4,28.1,76.7,0.0,21.6,226.8,Tillering,4,1.77,0.05
III,Pampanga,Arayat,2019-01-12,24.116666666666667,30.9,75.2,0.0,22.7,229.5,Tillering,1,1.51,0.16
III,Pampanga,Arayat,2019-01-13,23.833333333333332,30.4,74.5,0.0,22.2,214.2,Tillering,3,0.23,0.21
III,Pampanga,Arayat,2019-01-14,23.549999999999997,31.2,75.2,0.0,23.0,216.5,Tillering,4,0.48,0.1
III,Pampanga,Arayat,2019-01-15,23.266666666666666,31.0,79.9,3.7,23.5,223.9,Tillering,7,0.47,0.1
III,Pampanga,Arayat,2019-01-16,22.983333333333334,31.6,75.9,0.0,22.9,226.0,Tillering,3,0.11,0.01
III,Pampanga,Arayat,2019-01-17,22.7,31.8,71.1,0.0,21.5,207.7,Elongation,0,1.27,0.17
III,Pampanga,Arayat,2019-01-18,22.5,33.5,71.6,0.0,22.3,214.4,Elongation,2,0.45,0.01
III,Pampanga,Arayat,2019-01-19,22.0,33.0,74.0,0.0,22.3,227.8,Elongation,1,0.71,0.19
III,Pampanga,Arayat,2019-01-20,21.9,31.2,73.6,0.0,21.3,225.1,Elongation,5,0.68,0.09
III,Pampanga,Arayat,2019-01-21,22.1,32.3,73.4,0.0,21.9,218.7,Elongation,1,0.16,0.0
III,Pampanga,Arayat,2019-01-22,23.6,31.7,71.1,0.0,21.9,222.2,Elongation,3,0.0,0.13
III,Pampanga,Arayat,2019-01-23,24.1,33.3,71.8,0.0,23.1,213.5,Elongation,2,0.51,0.0
III,Pampanga,Arayat,2019-01-24,24.2,33.6,75.3,0.0,24.0,237.1,Elongation,4,3.1,0.04
III,Pampanga,Arayat,2019-01-25,24.3,33.2,77.2,0.0,24.2,224.0,Elongation,2,4.3,0.05
III,Pampanga,Arayat,2019-01-26,24.7,34.3,76.0,0.0,24.7,222.7,Elongation,1,4.483333333333333,0.05
III,Pampanga,Arayat,2019-01-27,24.7,33.6,75.9,0.0,24.3,219.0,Elongation,3,4.666666666666666,0.08
III,Pampanga,Arayat,2019-01-28,24.6,32.1,81.0,9.1,24.6,217.2,Elongation,2,4.85,0.15
III,Pampanga,Arayat,2019-01-29,24.4,33.7,75.6,0.0,24.2,233.9,Elongation,1,6.33,0.0
III,Pampanga,Arayat,2019-01-30,25.1,32.2,77.1,0.0,24.1,221.3,Elongation,0,5.16,0.14
III,Pampanga,Arayat,2019-01-31,24.4,30.7,72.2,0.0,22.0,217.3,Elongation,0,6.75,0.17
III,Pampanga,Arayat,2019-02-01,24.133333333333333,30.8,75.1,0.0,22.3,222.3,Elongation,2,5.18,0.05
III,Pampanga,Arayat,2019-02-02,23.866666666666667,32.0,69.3,0.0,22.0,217.1,Elongation,2,4.25,0.07
III,Pampanga,Arayat,2019-02-03,23.6,31.9,71.5,0.0,22.0,226.8,Elongation,2,3.422,0.02
III,Pampanga,Arayat,2019-02-04,23.333333333333332,32.1,72.4,0.0,22.5,228.8,Elongation,2,2.5940000000000003,0.1
III,Pampanga,Arayat,2019-02-05,23.066666666666666,32.6,76.1,8.6,23.3,221.2,Elongation,6,1.766,0.12
III,Pampanga,Arayat,2019-02-06,22.8,34.0,74.5,0.0,23.3,224.4,Panicle,2,0.9380000000000002,7.44
III,Pampanga,Arayat,2019-02-07,22.4,32.5,73.5,0.0,22.2,216.8,Panicle,2,0.11,6.855
III,Pampanga,Arayat,2019-02-08,22.7,32.3,77.0,2.3,22.9,233.5,Panicle,2,0.18,6.27
III,Pampanga,Arayat,2019-02-09,22.4,31.8,67.4,0.0,20.6,213.4,Panicle,2,0.05,5.685
III,Pampanga,Arayat,2019-02-10,21.8,31.4,67.9,0.0,20.2,232.1,Panicle,1,0.22,5.1
III,Pampanga,Arayat,2019-02-11,22.3,32.0,65.0,0.0,20.2,217.2,Panicle,2,0.14,3.07
III,Pampanga,Arayat,2019-02-12,22.9,31.4,71.1,0.0,21.4,210.9,Panicle,1,0.1,2.64
III,Pampanga,Arayat,2019-02-13,23.4,32.5,72.2,0.0,22.4,225.0,Panicle,3,0.33,2.94
III,Pampanga,Arayat,2019-02-14,22.8,32.4,72.12,0.0,21.6,228.6,Panicle,2,0.11,4.27
III,Pampanga,Arayat,2019-02-15,22.7,33.3,72.04,0.0,21.6,211.6,Panicle,2,0.13,3.97
III,Pampanga,Arayat,2019-02-16,22.2,31.7,71.96,0.0,20.7,227.0,Panicle,2,0.18,5.11
III,Pampanga,Arayat,2019-02-17,21.3,31.0,71.88,0.0,20.8,221.3,Panicle,1,0.07,4.06
III,Pampanga,Arayat,2019-02-18,21.5,32.3,71.8,0.0,21.3,214.4,Panicle,0,0.09,4.49
III,Pampanga,Arayat,2019-02-19,21.4,31.7,71.3,0.0,20.8,223.9,Panicle,0,0.06,3.91
III,Pampanga,Arayat,2019-02-20,21.5,31.4,70.9,0.0,20.6,215.7,Panicle,0,0.1,1.13
III,Pampanga,Arayat,2019-02-21,21.7,30.6,68.6,0.0,19.9,224.2,Panicle,2,0.0,0.74
III,Pampanga,Arayat,2019-02-22,22.1,30.4,75.2,3.9,21.3,214.5,Flowering,0,0.12,0.91
III,Pampanga,Arayat,2019-02-23,21.2,32.5,70.5,0.0,21.0,230.7,Flowering,1,0.15,0.19
III,Pampanga,Arayat,2019-02-24,20.7,32.1,69.2,0.0,20.2,218.3,Flowering,0,0.04,0.45
III,Pampanga,Arayat,2019-02-25,21.4,32.7,69.7,0.0,21.0,220.3,Flowering,1,0.0,1.88
III,Pampanga,Arayat,2019-02-26,22.2,33.5,71.7,0.0,22.2,219.1,Flowering,1,0.04,1.87
III,Pampanga,Arayat,2019-02-27,22.9,31.7,72.4,16.7,21.8,204.3,Flowering,3,0.05,0.73
III,Pampanga,Arayat,2019-02-28,22.8,32.0,70.1,0.0,21.4,229.0,Flowering,2,0.1,0.58
III,Pampanga,Arayat,2019-03-01,22.0,31.3,67.0,0.0,20.0,215.0,Flowering,1,0.07,0.0
III,Pampanga,Arayat,2019-03-02,22.4,29.8,68.5,0.0,19.8,217.4,Flowering,1,0.06,0.36
III,Pampanga,Arayat,2019-03-03,22.1,28.9,68.1,0.0,19.1,230.2,Flowering,0,0.01,0.99
III,Pampanga,Arayat,2019-03-04,22.4,30.1,65.7,0.0,19.4,213.4,Flowering,1,0.08,0.47
