Region,Province,Municipality,Date,Rice_Growth_Stage,BPH_Hoppers_per_Hill,RSB_Dead_Hearts_Pct,RSB_White_Ears_Pct
III,Pampanga,Arayat,2019-01-01,Tillering,4.0,0.42,0.18
III,Pampanga,Arayat,2019-01-02,Tillering,3.0,0.51,0.13
III,Pampanga,Arayat,2019-01-03,Tillering,3.0,1.13,0.04
III,Pampanga,Arayat,2019-01-04,Tillering,0.0,0.0,0.06
III,Pampanga,Arayat,2019-01-05,Tillering,0.0,0.42,0.09
III,Pampanga,Arayat,2019-01-06,Tillering,1.0,0.1,0.12
III,Pampanga,Arayat,2019-01-07,Tillering,3.0,0.36,0.13
III,Pampanga,Arayat,2019-01-08,Tillering,5.0,0.0,0.13
III,Pampanga,Arayat,2019-01-09,Tillering,1.0,0.74,0.0
III,Pampanga,Arayat,2019-01-10,Tillering,2.0,0.2,0.11
III,Pampanga,Arayat,2019-01-11,Tillering,4.0,1.77,0.05
III,Pampanga,Arayat,2019-01-12,Tillering,1.0,1.51,0.16
III,Pampanga,Arayat,2019-01-13,Tillering,3.0,0.23,0.21
III,Pampanga,Arayat,2019-01-14,Tillering,4.0,0.48,0.1
III,Pampanga,Arayat,2019-01-15,Tillering,7.0,0.47,0.1
III,Pampanga,Arayat,2019-01-16,Tillering,3.0,0.11,0.01
III,Pampanga,Arayat,2019-01-17,Elongation,0.0,1.27,0.17
III,Pampanga,Arayat,2019-01-18,Elongation,2.0,0.45,0.01
III,Pampanga,Arayat,2019-01-19,Elongation,1.0,0.71,0.19
III,Pampanga,Arayat,2019-01-20,Elongation,5.0,0.68,0.09
III,Pampanga,Arayat,2019-01-21,Elongation,1.0,0.16,0.0
III,Pampanga,Arayat,2019-01-22,Elongation,3.0,0.0,0.13
III,Pampanga,Arayat,2019-01-23,Elongation,2.0,0.51,0.0
III,Pampanga,Arayat,2019-01-24,Elongation,4.0,3.1,0.04
III,Pampanga,Arayat,2019-01-25,Elongation,2.0,4.3,0.05
