Region,Province,Municipality,Date,Tmin,Tmax,Relative_Humidity,Rainfall,Dew_Point,Solar_Radiation
III,Pampanga,Arayat,2019-01-01,23.1,31.6,77.4,10.0,22.8,206.3
III,Pampanga,Arayat,2019-01-02,22.7,29.8,77.4,14.3,21.7,205.0
III,Pampanga,Arayat,2019-01-03,22.8,30.8,72.2,0.0,21.2,220.4
III,Pampanga,Arayat,2019-01-04,22.4,30.6,74.5,0.0,21.4,211.5
III,Pampanga,Arayat,2019-01-05,22.0,31.9,74.9,0.0,21.9,216.3
III,Pampanga,Arayat,2019-01-06,23.6,32.2,71.9,0.0,22.3,215.7
III,Pampanga,Arayat,2019-01-07,23.8,31.1,72.7,0.0,22.0,210.2
III,Pampanga,Arayat,2019-01-08,23.7,30.9,72.4,0.0,21.8,227.9
III,Pampanga,Arayat,2019-01-09,23.9,29.7,73.4,0.0,21.5,231.0
III,Pampanga,Arayat,2019-01-10,23.3,26.8,74.0,0.0,19.8,224.1
III,Pampanga,Arayat,2019-01-11,24.4,28.1,76.7,0.0,21.6,226.8
III,Pampanga,Arayat,2019-01-12,,30.9,75.2,0.0,22.7,229.5
III,Pampanga,Arayat,2019-01-13,,30.4,74.5,0.0,22.2,214.2
III,Pampanga,Arayat,2019-01-14,,31.2,75.2,0.0,23.0,216.5
III,Pampanga,Arayat,2019-01-15,,31.0,79.9,3.7,23.5,223.9
III,Pampanga,Arayat,2019-01-16,,31.6,75.9,0.0,22.9,226.0
III,Pampanga,Arayat,2019-01-17,22.7,31.8,71.1,0.0,21.5,207.7
III,Pampanga,Arayat,2019-01-18,22.5,33.5,71.6,0.0,22.3,214.4
III,Pampanga,Arayat,2019-01-19,22.0,33.0,74.0,0.0,22.3,227.8
III,Pampanga,Arayat,2019-01-20,21.9,31.2,73.6,0.0,21.3,225.1
III,Pampanga,Arayat,2019-01-21,22.1,32.3,73.4,0.0,21.9,218.7
III,Pampanga,Arayat,2019-01-22,23.6,31.7,71.1,0.0,21.9,222.2
III,Pampanga,Arayat,2019-01-23,24.1,33.3,71.8,0.0,23.1,213.5
III,Pampanga,Arayat,2019-01-24,24.2,33.6,75.3,0.0,24.0,237.1
III,Pampanga,Arayat,2019-01-25,24.3,33.2,77.2,0.0,24.2,224.0
III,Pampanga,Arayat,2019-01-26,24.7,34.3,76.0,0.0,24.7,222.7
III,Pampanga,Arayat,2019-01-27,24.7,33.6,75.9,0.0,24.3,219.0
III,Pampanga,Arayat,2019-01-28,24.6,32.1,81.0,9.1,24.6,217.2
III,Pampanga,Arayat,2019-01-29,24.4,33.7,75.6,0.0,24.2,233.9
III,Pampanga,Arayat,2019-01-30,25.1,32.2,77.1,0.0,24.1,221.3
III,Pampanga,Arayat,2019-01-31,24.4,30.7,72.2,0.0,22.0,217.3
III,Pampanga,Arayat,2019-02-01,,30.8,75.1,0.0,22.3,222.3
III,Pampanga,Arayat,2019-02-02,,32.0,69.3,0.0,22.0,217.1
III,Pampanga,Arayat,2019-02-03,,31.9,71.5,0.0,22.0,226.8
III,Pampanga,Arayat,2019-02-04,,32.1,72.4,0.0,22.5,228.8
III,Pampanga,Arayat,2019-02-05,,32.6,76.1,8.6,23.3,221.2
III,Pampanga,Arayat,2019-02-06,22.8,34.0,74.5,0.0,23.3,224.4
III,Pampanga,Arayat,2019-02-07,22.4,32.5,73.5,0.0,22.2,216.8
III,Pampanga,Arayat,2019-02-08,22.7,32.3,77.0,2.3,22.9,233.5
III,Pampanga,Arayat,2019-02-09,22.4,31.8,67.4,0.0,20.6,213.4
III,Pampanga,Arayat,2019-02-10,21.8,31.4,67.9,0.0,20.2,232.1
III,Pampanga,Arayat,2019-02-11,22.3,32.0,65.0,0.0,20.2,217.2
III,Pampanga,Arayat,2019-02-12,22.9,31.4,71.1,0.0,21.4,210.9
